loan_amount,repayment_rate,default_history,income_level,credit_score,repayment_probability
12388,0.5459746770426938,0,52112,498,1
41128,0.9306464802121488,3,81865,361,0
15611,0.8738715374954569,2,47436,832,1
29770,0.6528484966828565,1,56440,467,1
34137,0.7563381755490284,1,27824,336,1
13109,0.5691649340408189,0,32989,518,1
25879,0.5763994920723173,3,39473,814,1
4223,0.5031502454800967,1,29270,428,1
7867,0.7365018064914365,2,77400,716,1
25600,0.9193494650513412,4,83926,430,1
25227,0.6234158588483538,1,26550,362,1
15938,0.7055928537155094,2,78202,362,1
31985,0.680707412938725,1,54415,310,1
25504,0.5831018765890649,0,27267,830,1
24031,0.5322345372045575,4,79344,497,1
32484,0.7688398159144445,3,82894,429,0
35251,0.9918922192212234,2,59013,349,0
15487,0.5748636526996644,0,61226,645,1
3645,0.5672205339018812,3,99847,565,1
29468,0.9240028573867589,3,43591,465,1
44157,0.8894369374798445,1,25446,647,1
16176,0.820071815651779,0,80941,603,1
6479,0.5187051788932161,2,43343,396,0
29621,0.7497007169620566,4,47474,836,1
1478,0.9599425756184461,0,62323,576,1
30251,0.9812540781257526,1,84047,717,1
43071,0.5100799776972247,1,30927,597,1
25798,0.8086452093380578,1,46876,803,0
41328,0.8886638061704455,1,95276,827,1
41467,0.6688027007686488,0,52652,461,1
44323,0.6811762359702278,1,99009,582,1
48242,0.7168337359854321,3,51606,640,1
7836,0.8734840375740436,2,74508,801,0
30260,0.5487968383486184,4,73127,489,0
24165,0.7331019489747519,3,71484,499,0
19779,0.636100599799039,4,90206,491,1
40921,0.6007253057088207,4,25800,326,0
7843,0.9740054800923503,0,74449,692,1
40749,0.903230137215275,2,59672,457,1
33793,0.8156956222071586,1,25313,703,1
19829,0.7468268185721272,4,68635,629,0
7882,0.5647811349632623,4,20373,402,1
21104,0.5673113407008978,3,87771,348,0
43611,0.9049558609668843,1,44418,450,1
44313,0.6204975844466911,1,86911,353,1
19919,0.7224125723095405,2,97682,374,1
11011,0.8097652691489856,1,60875,462,1
9298,0.5412223123684294,4,81908,540,0
6083,0.5457847551570394,4,61563,386,0
28349,0.836617668155391,0,57131,674,1
47445,0.5358738642251815,0,82521,334,0
39552,0.6928377379675099,0,45739,308,0
25386,0.5242914622737143,2,83999,474,1
30427,0.9813406363336439,3,33089,591,0
28046,0.510615779577686,1,48333,462,1
17264,0.7709738164623294,0,20462,593,1
44092,0.9746651503689567,1,82635,800,0
33794,0.8248292794850856,2,26359,375,1
39382,0.6484176682745457,3,65385,755,1
15885,0.5567060420388139,3,39525,439,0
7032,0.6054363638940649,3,53557,797,1
7756,0.851017305739395,4,33788,430,1
42490,0.8107539649383839,1,99612,692,1
36162,0.642218791932962,4,39911,758,1
31386,0.9150755023088859,0,73302,633,1
43781,0.7463698320943525,4,24353,555,1
46985,0.9175551501696634,1,57213,348,1
6840,0.9248255917879796,0,96737,797,0
45184,0.795584048860051,2,28320,347,0
43284,0.5775558770958137,3,99290,320,0
49142,0.8442195948677149,0,80301,560,1
12610,0.8257238974065632,1,77094,531,0
31143,0.9134734071497013,4,63368,667,1
3206,0.9342053385934402,4,40159,627,1
35123,0.6198084638258659,2,22922,385,1
44210,0.8894895811612038,0,57775,336,0
20205,0.9433236297799795,4,46650,311,1
25853,0.8719003717200848,2,24152,342,1
17294,0.8835983922267419,3,40586,557,1
13166,0.5355657200682682,2,49313,414,1
9654,0.8046475064065859,2,67431,689,1
27122,0.762522457716829,2,54716,745,0
4384,0.9087375728881273,2,43003,630,1
10111,0.5173056271613095,2,20703,433,0
30280,0.5659954660191762,4,61392,322,1
22178,0.7903999430263837,3,34845,630,1
16842,0.7517135473306594,4,58957,773,1
21842,0.7560122949170862,1,85049,681,1
35217,0.5206099474644282,1,90596,524,1
28977,0.9472462472492642,4,44376,572,1
42041,0.5064372393030973,1,82011,756,1
47944,0.8092245973955148,3,29105,410,1
15621,0.502457996062312,2,93566,496,0
17429,0.7599732714508786,3,54184,655,1
1156,0.7398639067611983,4,35974,688,1
29003,0.6271989621242501,2,29668,507,1
47167,0.7956428196052725,4,96191,833,1
2167,0.7858980959230863,2,59088,400,1
4865,0.5865746194066885,0,69236,528,1
41871,0.525447721156762,2,57229,373,0
1361,0.5284742522199508,3,74353,425,1
10459,0.7679917493473438,1,49652,671,0
18816,0.9848378604161885,1,64752,443,0
19998,0.9883452855839052,4,67582,503,1
43214,0.9920911931167693,4,77414,304,0
20651,0.9140179533745674,2,99480,798,1
9737,0.5171931181961755,4,50933,395,1
44521,0.842853226517456,4,32091,796,1
2891,0.5092374803836524,0,95578,524,1
31088,0.7928120617477795,1,23822,391,1
23377,0.5827362433586061,4,76265,836,1
26306,0.7281629115707433,0,41663,747,0
42940,0.6597229145725028,1,67290,387,1
12179,0.7879515987706227,4,88065,373,1
10368,0.9741459957127043,3,86126,812,1
20557,0.8902315628090478,3,99451,720,1
26996,0.8056023883462438,3,53905,522,1
31628,0.905768543598419,3,51724,394,0
10607,0.8919422599531022,0,44955,749,1
9070,0.7437688861697529,0,34978,572,1
30223,0.9543724300047709,2,97830,483,1
8844,0.8962552143274298,4,42599,718,1
16703,0.6424324268823972,2,95766,729,1
20156,0.6845159254495019,2,30529,829,1
42247,0.5021627661102166,3,44866,336,0
32382,0.9096707674872822,2,40836,376,1
48654,0.6352494935114087,3,87439,657,0
8724,0.5666922415366619,3,54233,745,1
39736,0.5382120380052853,1,42829,318,0
45243,0.8619520913209517,3,75149,692,1
44519,0.6038564238589745,4,75678,384,0
23283,0.729473375507594,2,46802,618,1
16734,0.8081027919977521,4,31719,359,1
11191,0.5335757408937851,3,43245,335,1
5580,0.9296571919308549,4,52807,621,1
1431,0.7666399301781426,2,29233,311,0
29496,0.7655067100609301,1,39765,484,1
24305,0.9442572299918086,1,76555,649,1
35657,0.7525097328668696,0,65394,795,1
31390,0.8863853826212563,4,65016,435,1
19214,0.777251012979647,4,24967,466,1
20476,0.996641341187108,4,29099,710,0
26757,0.9543079260173746,1,27376,708,1
44370,0.5516001895091617,2,42234,331,0
25977,0.620854794189972,0,33171,594,1
49532,0.6681163489362804,3,61790,767,1
7112,0.8231518961483087,2,42801,375,1
45664,0.5383740528028371,0,93196,418,1
40487,0.6351157896815387,3,22829,367,1
48750,0.9442453866939993,3,47470,570,1
34068,0.7996172404058992,1,71999,761,1
8455,0.5987783802452653,0,75311,839,1
22622,0.6880106834599693,3,51524,604,1
48414,0.7375198233105407,0,43133,809,1
12700,0.5059513447899258,2,45812,804,1
44328,0.6389885243385292,0,35593,394,0
44986,0.5258825725832652,4,48669,812,1
8098,0.9504983188493485,1,45778,690,1
33344,0.8905088767598817,2,85284,765,0
28271,0.8574194509655819,0,52466,735,1
47752,0.8347190972771451,2,98159,678,0
44035,0.9694263332330697,3,31474,599,0
2876,0.8483887426223463,0,38764,569,0
41965,0.9754456465658689,4,92428,376,1
25179,0.8449417199898113,4,74317,358,1
9015,0.756273748293127,2,76100,833,1
21008,0.8145521205687412,0,95834,404,0
21800,0.6226850664975274,3,24472,777,1
17808,0.7989523004989592,0,22982,313,0
30902,0.5331598736142621,0,42364,473,0
13232,0.8320508982852949,4,41207,768,0
20286,0.6689716574789919,1,90733,763,1
37755,0.6486473245675405,0,97132,560,1
31802,0.9138069731405863,2,75372,492,1
22479,0.9983734833473119,1,59488,743,1
6467,0.8053954081837044,2,20036,702,1
48817,0.6000056194308457,3,96479,558,1
19624,0.7066734722078992,2,84101,836,0
30941,0.89630529227374,3,98981,630,1
39537,0.8667870195816197,2,85865,803,1
4765,0.7986199201265267,1,46691,561,1
18485,0.6085767840844496,3,67344,351,1
15475,0.6789749319081471,3,40172,627,0
22506,0.5334275086718864,1,96375,347,1
19748,0.7033048016838295,0,65822,523,1
48072,0.7784543947513607,3,27353,452,1
10597,0.7066544587051684,3,65040,785,1
27001,0.7810403225395226,3,69681,426,1
14277,0.8307895302141801,3,95975,590,0
1337,0.8625171186270681,0,90629,577,1
14529,0.6657088732938324,2,65133,753,0
44881,0.8599894245064459,3,62682,799,1
43577,0.9048704190929548,2,20548,751,0
35140,0.6714384872503016,1,57968,496,1
25229,0.5567884286741942,1,50532,608,0
19152,0.6128850663490353,0,98579,423,1
40318,0.8175074348974691,0,59411,571,0
8239,0.5565455126690264,2,21981,326,1
17300,0.7071970004423583,2,84338,507,1
46211,0.6584625192760426,2,43958,731,0
37563,0.5465422270191529,0,51038,488,1
6612,0.5525141432893796,0,40999,798,1
6345,0.8513243687410446,2,22022,636,1
25974,0.9950429895722979,4,35542,303,0
46990,0.8416679760575108,4,27069,763,1
14430,0.7895366793443396,3,69912,640,0
29491,0.8417173006621936,3,33984,644,1
11368,0.6260012886706734,0,59081,663,1
36959,0.979192482524194,3,94033,677,0
8753,0.6953892239246118,3,97264,676,1
26117,0.986300773236102,1,99853,789,1
27197,0.9122553809587737,0,66793,474,0
21570,0.8979556546433767,1,98016,391,0
41537,0.8445584082120545,1,30461,368,1
12513,0.852159078195212,4,75975,742,1
3214,0.9612247418614758,2,54753,609,1
9401,0.5847772415875331,0,73724,565,0
46444,0.8209549790879016,3,93368,598,1
38797,0.6896579397897462,1,74618,540,0
4694,0.5524670251107389,2,27691,525,1
1217,0.7069669140640553,0,72112,468,0
27704,0.5463374113327699,0,81438,443,1
45395,0.8616973609366889,1,98813,529,0
33083,0.5220231913053466,1,85446,649,0
10113,0.7256426522770214,2,75877,699,1
23179,0.7982962162002083,0,28166,713,0
29285,0.834780629346928,2,32751,436,1
23625,0.9352198391272829,1,62799,844,1
27239,0.7969756277034201,1,74032,498,1
42734,0.8243522618366123,0,51682,838,1
9268,0.963620928523611,3,27013,375,0
41014,0.5809051164912932,3,44801,435,1
5663,0.7675274515155432,4,36655,785,0
33172,0.8387177365740324,0,29101,468,1
22551,0.7373438697376581,0,48170,634,0
11479,0.7851283582020444,3,50985,664,1
1951,0.5459097854059718,2,23772,559,1
48819,0.5349130768754692,0,61132,713,1
44149,0.840150396355703,4,21213,485,1
1264,0.5047116515752457,3,38324,589,0
32012,0.5046563200482092,1,37446,420,1
27276,0.8086798421574389,2,37127,328,1
44826,0.5910489026331587,0,92420,733,0
15659,0.853052229525366,0,85057,555,1
18701,0.847989925693704,0,77676,574,1
3398,0.8780929676985505,0,97789,677,1
13333,0.9783522911460976,4,49641,669,1
36486,0.8664709329775218,0,98797,404,0
21684,0.537794060334134,2,33564,402,1
47967,0.5395722799565539,0,57123,692,0
35419,0.9357774960839644,0,65858,313,0
45269,0.8239982964064632,1,44439,581,0
43308,0.8993815123256486,4,68852,382,1
18725,0.8367095100480559,2,69092,812,1
17844,0.7103269830472534,4,81638,492,1
24971,0.5988227945745046,3,85923,394,0
49729,0.7106243990073612,3,61474,536,1
23491,0.743375232749939,0,64766,702,1
30887,0.7526397033614433,2,28998,750,1
7942,0.5571294981815405,2,77814,442,1
18209,0.662734102277941,4,48162,584,1
28882,0.6271194111198558,0,98965,543,1
19956,0.7353561206799051,2,34013,393,1
24140,0.7148067674350422,0,89680,794,0
31262,0.5550568682457486,4,24548,599,1
9467,0.6529769305655971,2,86968,745,1
21442,0.6055561696899144,3,70970,609,1
11129,0.7034770371876853,2,32220,767,1
23144,0.700028851912647,3,51764,511,0
17646,0.7750338186105751,3,98124,761,0
47076,0.8626261726114433,4,25891,404,1
11200,0.6742309629720653,3,26169,754,1
33624,0.5280525866313182,2,51165,565,1
32116,0.8598362881186403,4,63106,824,0
27468,0.8594266800653749,4,56701,599,1
48932,0.8207442901068404,2,59029,810,0
34235,0.6301390743586435,1,95142,310,1
25847,0.8273488032056441,1,26930,635,1
41621,0.6894239958522163,4,20401,494,1
21178,0.7750024375657047,2,73100,725,1
11561,0.6989126814516428,2,68911,374,1
20390,0.8456701751935046,4,28108,431,1
11647,0.5229760598740214,2,71475,737,1
37212,0.8821436020212918,0,70367,700,1
26971,0.5500723107062284,4,66505,709,1
2907,0.7251019717561727,0,66871,404,1
26476,0.5338463504988987,2,70907,746,0
4580,0.8110575111984728,1,92477,662,1
8552,0.6961486432396616,1,81677,623,1
37721,0.5972199328583077,4,29749,781,1
45829,0.6580337395927196,1,35300,766,0
38202,0.7602641836468788,0,67812,407,0
26456,0.6807699326830525,2,99354,840,1
7330,0.6360461532124014,1,91860,328,1
16356,0.654480563867381,2,63762,598,1
10406,0.995612331208883,1,95665,519,0
21850,0.7374421347114318,4,48889,554,1
4283,0.9767033579528928,2,27225,373,1
45914,0.9315575043302133,0,58187,655,0
32238,0.5287303693760876,2,20169,634,1
47780,0.515625129399202,4,71528,601,0
49676,0.9164483692960141,3,72879,500,1
29420,0.8516339432831201,1,54076,641,1
23146,0.5189924142010693,0,23112,598,0
3996,0.7649227045977824,4,62164,652,1
7269,0.8547077933041741,0,22930,467,1
41272,0.6290306205982044,1,86292,828,0
16771,0.6854763450693475,2,32608,839,1
13196,0.8296886727868704,0,32091,390,1
30603,0.6912534686459929,2,32394,615,1
24379,0.6013266214935593,2,67398,613,1
26114,0.9996745167827102,1,65904,552,0
19784,0.5849216432747136,0,34497,495,1
36759,0.5758383480138202,3,52246,412,1
5769,0.7097550392812344,2,81375,576,1
5302,0.9943762618722081,1,45923,455,1
7908,0.6603232700585597,0,22692,418,0
8840,0.7159324013599211,2,97032,609,1
28429,0.8980211631634163,1,65967,522,1
1314,0.7706727197901587,2,85805,391,1
31507,0.9260374170854404,0,73342,386,0
19468,0.9838608069759591,3,53799,616,1
24574,0.8445038645330001,0,20879,474,0
8851,0.8047342312556237,3,55957,724,1
28228,0.9631751609733301,1,93714,748,0
10900,0.8326232574648771,1,25003,716,1
40966,0.8864447277045905,3,82856,812,1
15121,0.669002758805462,4,86946,551,0
27004,0.5995716981563408,0,28617,444,1
3480,0.8172925521309767,2,21745,714,0
46824,0.7902871344218596,1,50493,349,1
15381,0.8816070162907952,1,31915,483,1
28889,0.6697022051810312,1,80998,726,1
31039,0.7096796449137143,3,20370,849,0
4566,0.7013650643007849,3,66472,650,0
46487,0.9278089014754884,1,40195,784,0
20835,0.9181020682946863,0,81557,726,1
49910,0.5530147931160574,2,78831,624,1
36914,0.5432714194215724,1,50076,367,1
46472,0.5135960809180242,4,71279,466,1
11003,0.8009651557504625,4,95957,759,1
30020,0.962320443306417,1,78773,534,1
47134,0.6310112519384099,1,58924,484,0
14308,0.9633498656924931,1,34801,805,1
11054,0.6710634080041881,4,56423,597,1
40014,0.8811707505005235,4,84774,624,1
30740,0.994886550275317,4,26343,391,1
22904,0.964222066641366,1,85892,387,1
38836,0.9829624297469746,4,78471,833,0
7210,0.6553189220448346,1,40296,587,1
1816,0.8142742943207264,1,79235,663,1
35145,0.9993452914032929,0,42150,369,1
10641,0.8146454095628555,2,74272,734,1
46002,0.7057706074736299,1,63562,365,1
3543,0.7122079546088931,4,55906,817,1
37233,0.618970145249005,3,72506,802,0
3273,0.6201785734018628,1,22431,849,1
7865,0.513907534297205,4,56098,715,1
4316,0.971535998565396,0,26912,628,0
30115,0.5065352907983495,3,64247,730,0
44039,0.6596777068899058,1,39196,667,1
38132,0.5381723110455061,3,50944,684,1
18358,0.8282455395735587,0,31014,708,1
25862,0.6952551074699302,3,24209,759,1
21997,0.766883547697955,1,33994,813,1
2258,0.7202741303420126,3,65130,663,0
26858,0.8842536323297961,4,83324,565,1
35932,0.8008548928950705,2,25951,505,0
48181,0.7722021882726268,0,65262,499,1
47347,0.5695620438438957,1,29456,532,0
47497,0.9199383417030105,0,22512,404,1
20916,0.6740883173496297,2,74690,528,1
46570,0.8959444923612161,1,26962,359,0
17370,0.739322544997558,1,69133,600,1
24690,0.9736178966515147,2,57133,616,0
28561,0.8610935584195144,0,43715,512,0
44458,0.6335661323998882,4,42734,584,1
47761,0.9215695677926083,1,29750,347,0
49971,0.800532263687399,0,76881,592,1
31352,0.9247919156493034,4,73976,626,1
24979,0.713188375493099,0,76739,576,1
5879,0.5702379925780394,3,22822,686,1
28112,0.9826709838904992,2,94945,555,1
28073,0.7474377908757266,3,58759,745,1
31322,0.720843487777313,4,54191,778,0
46825,0.6988750073488548,0,53603,745,1
46961,0.8422932560358658,4,27776,452,0
26552,0.7839824472780239,4,98550,305,1
32241,0.5371198516950083,4,28572,513,0
20949,0.6341882361748159,3,33539,452,1
31690,0.5739219962812812,2,74110,423,1
21951,0.5033888015102777,2,43236,687,1
10296,0.9515241187686685,4,48792,660,0
23173,0.838497499891367,2,51544,715,1
7362,0.5421443720669912,2,20756,810,1
28522,0.6194498025609667,0,65432,793,1
28220,0.74871597007568,1,37023,770,1
21143,0.9402487300612179,4,37096,341,1
35851,0.8665931849059698,4,77263,490,1
28868,0.6060205268611113,3,28333,549,1
24360,0.5587880073368086,2,45132,684,1
29144,0.9410849450677585,4,45380,646,0
14097,0.8479952647250213,0,73411,498,1
42366,0.8733568514344969,2,46954,419,0
14890,0.5786391226255403,1,25120,752,1
31270,0.5711909640787545,4,56377,620,1
48402,0.5414610924748957,2,86041,513,0
25994,0.8152990467115997,4,90616,312,1
24679,0.9065074723857525,4,94287,398,1
35404,0.7210180755295919,2,59180,823,1
19127,0.7472598004386097,0,69068,603,1
21200,0.5255561943924847,0,92903,507,0
44533,0.8051918684948496,2,33691,484,1
37366,0.6188660289183667,0,53863,807,1
13958,0.8421924551839567,0,58249,454,0
24315,0.5819412716926426,2,43870,678,1
15998,0.567950088460113,4,67620,426,1
3807,0.6947236405525388,0,80523,618,1
15443,0.7402346967311109,0,64422,733,0
7747,0.7439988831862056,4,71026,746,0
4283,0.8285420246794546,1,67597,316,1
41665,0.6362036184654758,1,43146,423,1
40618,0.520601171605017,0,57743,757,0
40948,0.9727463759186181,3,59995,766,0
44768,0.6831702791209556,4,32888,400,0
13833,0.8857444822828493,1,24421,582,1
41660,0.7791384050621482,0,34143,659,1
19618,0.8462941994480777,0,89707,648,1
18364,0.8754526748991939,3,67190,710,1
21313,0.5550649167750471,3,29682,750,0
45280,0.7280864011930098,1,54621,735,1
40712,0.5999399277861981,2,78332,609,1
16310,0.5495648158178754,4,58651,585,1
12715,0.8044920393002333,0,96739,741,1
5966,0.9321453615862225,3,57944,587,0
27278,0.7829231445598208,1,85174,816,0
11927,0.7501489210607524,3,72013,498,1
10449,0.8204229528870453,4,28299,802,1
43338,0.9784583122844928,3,59262,598,1
19838,0.7961582539299477,0,39776,690,1
40002,0.9804274787042193,2,89359,596,1
49371,0.5001813597375695,3,98559,470,1
45773,0.5987201630607382,3,54641,478,1
17563,0.735071630083624,1,50155,469,1
12765,0.9702894453098148,4,26975,447,1
32549,0.6733082210437453,3,30132,631,1
7239,0.5357214223634477,3,27225,364,0
15633,0.9895796449337595,2,77578,828,1
11899,0.6093659847016129,2,86047,482,0
36434,0.7452483132472124,2,32776,756,0
20115,0.6105138785951161,4,85087,613,1
12944,0.5987643608010025,1,74661,556,1
3981,0.9855160797780923,2,43780,381,1
20810,0.6775782533598358,2,41833,767,0
45354,0.5474895334500944,0,53280,646,0
25651,0.5665011510856593,2,63642,566,1
33056,0.5782462943022265,3,52067,828,1
13605,0.5955802973395952,4,36640,450,0
36644,0.5497364729131162,1,22778,352,1
30922,0.8260568907052123,2,65639,545,1
48492,0.733856708271337,1,59478,391,1
38811,0.7816670369746006,0,66714,505,0
15688,0.7445306797776241,3,64867,425,1
40652,0.7382172106556129,0,75457,811,1
16362,0.9370016405567847,0,29494,618,0
4255,0.524459807209799,0,27657,340,0
18637,0.6527233527324718,3,39930,825,1
14230,0.7056441378568679,3,72572,728,1
46162,0.6205113310741868,4,63154,780,1
47818,0.9429216389918764,0,63800,632,1
40439,0.9772692651621648,1,71812,590,1
49375,0.7810525356865965,2,24604,440,0
8911,0.8575957610262588,4,75680,671,1
16347,0.6607480336256535,2,22587,418,0
20255,0.5488704749775888,1,63182,316,0
21868,0.5996833112014669,2,22998,380,1
22425,0.7051705833924724,3,99380,440,1
19961,0.8012759854891673,3,99752,815,1
19085,0.6990494959830811,4,72445,411,0
46031,0.5105817548544005,4,94772,766,0
16895,0.5276957825788335,4,59022,712,1
32402,0.833716352132573,2,94463,539,0
44197,0.9513480146786124,0,49718,550,1
39235,0.71276941706364,0,56877,722,0
8305,0.7108565529886159,0,79616,399,1
16543,0.9455345671551788,4,24335,442,1
47650,0.6653275360744644,4,66101,730,1
42481,0.8899838265694253,4,57622,696,1
44918,0.698381575624301,0,63425,596,1
49022,0.8313193947493276,0,59818,433,0
8923,0.561243912077025,3,86562,745,1
16779,0.7098740199571837,3,41411,617,1
23751,0.9266388121551068,4,40014,459,1
3976,0.5352888446523939,4,88089,310,1
33748,0.7104843786176523,0,47293,328,0
30723,0.9523389446631007,0,45620,397,0
42735,0.978708832964807,3,41436,653,1
11457,0.6905698320936248,3,51561,638,0
37705,0.7937070263752717,2,72954,646,1
11127,0.957982437668282,1,42115,567,0
46271,0.5332703268406339,4,30995,360,1
1951,0.7527071702288956,4,34132,632,1
37176,0.9079752409234081,2,32310,435,0
25646,0.6530789557651361,3,91054,417,1
13174,0.8503861313623363,2,97120,532,1
48537,0.7974009914196776,3,20277,313,1
33404,0.5846284361926104,0,64265,492,1
47432,0.5728636439826978,0,81283,506,1
47343,0.6773127478351781,0,49308,428,0
36003,0.7523642728074886,4,87082,483,1
48349,0.8642971949408773,0,35557,602,1
20855,0.8407844025549158,0,71586,435,1
5159,0.5094007375342975,2,73657,749,1
23190,0.7559827142255611,2,85158,639,1
8836,0.7718405330665943,4,57797,595,1
30185,0.5541036544753049,3,72262,507,1
8581,0.9808671127584618,0,59748,325,1
46899,0.6112864303333686,0,87455,307,1
13088,0.8122007140085648,1,36901,559,0
28677,0.7188292327860528,1,72004,684,0
7253,0.7545826677695295,1,96197,665,1
6264,0.5168780066355569,4,84473,643,1
19390,0.5619411035231346,4,91359,742,1
46471,0.934269913331766,4,96844,417,1
36442,0.6985325305899455,3,55971,833,0
31790,0.5784582605743891,2,30029,566,1
43044,0.7709591879937324,1,93681,305,1
28402,0.8295087798294345,4,89621,391,0
14151,0.6270783038980661,4,79515,732,0
1559,0.7610504188956356,0,78760,366,1
17495,0.7928875980195532,3,73719,642,1
20988,0.812182550130305,4,36593,389,0
17999,0.7985129347764715,2,56048,574,0
28187,0.5953492973939767,4,54875,461,1
30677,0.5943898409419306,4,51322,755,1
49263,0.8985170141159639,2,64096,692,1
41560,0.9821304833395741,3,94693,311,1
30533,0.9304337692622215,1,72019,718,1
35888,0.9292337157722543,2,92111,731,1
36325,0.5579442704366955,0,45357,782,0
32106,0.5210502417986626,3,73433,395,0
43657,0.7665300459888247,4,94299,637,1
40071,0.6856408991823196,0,57765,777,1
45179,0.7907814101970241,4,65943,698,1
11675,0.9575108890325998,2,91519,468,1
14409,0.8074650207288319,0,51994,409,1
6706,0.6933628304731912,3,36052,579,0
3798,0.5633622643509957,0,55820,672,1
25841,0.6573593374515938,3,65559,550,1
42123,0.7279495403118224,2,76780,675,0
30852,0.5414124783929697,4,38984,693,0
3809,0.6387369303177082,4,28293,640,0
10424,0.9112820930080201,1,21507,318,0
44457,0.5782316129362315,4,38605,548,0
30950,0.5514889309913341,3,96075,397,1
20162,0.6052993478710238,3,40281,385,1
23106,0.5559733469153372,0,81667,304,1
40834,0.7519895504932187,1,73660,688,1
40733,0.9618328750995039,1,25331,304,0
11051,0.9263064941100753,1,43404,604,1
46574,0.8058837857339296,4,27368,481,0
29573,0.5156450004472777,3,61946,678,0
28874,0.8301705345746636,2,97276,799,1
47068,0.543837509781971,3,44303,509,1
46256,0.6993953004193264,2,79690,451,1
10872,0.73265572720434,0,43262,354,1
22750,0.9253240912847862,2,69942,321,1
18723,0.6778736263901286,2,86351,389,0
33758,0.5840813740982989,1,73105,509,1
8911,0.8744592971376415,2,83839,654,1
31499,0.9306230376598055,0,49137,420,1
38567,0.685234319728871,2,55668,378,1
49926,0.5848719045969408,1,99062,736,0
41725,0.8010752204384834,0,73828,745,1
49060,0.9295029976753408,2,83921,310,1
12438,0.9533742943895147,0,71429,723,1
24559,0.8663109461273528,4,76897,577,1
7087,0.5949359851885545,4,80124,461,1
18769,0.7778839190218069,1,91247,693,0
33774,0.6152907536250984,0,79553,530,0
18162,0.7817286957616478,1,29471,398,1
30762,0.7285315272521913,2,30132,333,0
15921,0.7384811321035842,4,48652,487,1
11929,0.8518890744097881,1,72967,570,0
46519,0.7598912835707021,2,76148,755,1
5908,0.7334153492367139,2,91767,401,1
13067,0.9108055928254929,3,60724,516,0
